Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
Italy,1801,18822234,1800,2197,29.69,Europe & Central Asia
Jamaica,1801,401000,1800,1171,34.2,America
Japan,1801,30294378,1800,1051,36.4003975384615,East Asia & Pacific
Jersey,1801,NA,1800,NA,NA,Europe & Central Asia
Jordan,1801,217000,1800,976,31.7,Middle East & North Africa
Kazakhstan,1801,2041282,1800,1141,26.2,Europe & Central Asia
Kenya,1801,2574000,1800,856,25.5,Sub-Saharan Africa
Kiribati,1801,17876,1800,551,24.9,East Asia & Pacific
North Korea,1801,4345000,1800,578,26,NA
South Korea,1801,9395000,1800,575,25.8,NA
United Korea (former),1801,NA,1800,NA,NA,NA
Kosovo,1801,NA,1800,NA,NA,Europe & Central Asia
Kuwait,1801,81280,1800,1101,26,Middle East & North Africa
Kyrgyz Republic,1801,530343,1800,508,23.941,NA
Lao,1801,470000,1800,865,31.9,NA
Latvia,1801,590588,1800,752,33,Europe & Central Asia
Lebanon,1801,332000,1800,1082,29.7,Middle East & North Africa
Lesotho,1801,276361,1800,393,32.8,Sub-Saharan Africa
Liberia,1801,313543,1800,797,31.1,Sub-Saharan Africa
Libya,1801,531472,1800,1050,33.1,Middle East & North Africa
Liechtenstein,1801,5802,1800,NA,NA,Europe & Central Asia
Lithuania,1801,778655,1800,1271,28.9,Europe & Central Asia
Luxembourg,1801,127030,1800,1453,36.9,Europe & Central Asia
"Macao, China",1801,17311,1800,992,34.7,East Asia & Pacific
"Macedonia, FYR",1801,391865,1800,690,36.1,Europe & Central Asia
Madagascar,1801,1543133,1800,573,30.5,Sub-Saharan Africa
Malawi,1801,737000,1800,350,30.3,Sub-Saharan Africa
Malaysia,1801,287000,1800,997,30.6,East Asia & Pacific
Maldives,1801,42378,1800,843,32.647,South Asia
Mali,1801,1403398,1800,603,26.408,Sub-Saharan Africa
Malta,1801,134072,1800,782,28.7,Europe & Central Asia
Marshall Islands,1801,5828,1800,539,NA,East Asia & Pacific
Martinique,1801,84039,1800,NA,30.153,America
Mauritania,1801,382696,1800,528,32,Sub-Saharan Africa
Mauritius,1801,62865,1800,940,28.7,Sub-Saharan Africa
Mayotte,1801,8219,1800,NA,32.5,Sub-Saharan Africa
Mexico,1801,6181708,1800,1379,26.9,America
"Micronesia, Fed. Sts.",1801,16416,1800,518,26.7,East Asia & Pacific
Moldova,1801,712558,1800,621,33.145,Europe & Central Asia
Monaco,1801,7789,1800,1950,NA,Europe & Central Asia
Mongolia,1801,619000,1800,592,31.8,East Asia & Pacific
Montenegro,1801,126582,1800,1058,35.4,Europe & Central Asia
Montserrat,1801,5230,1800,NA,NA,America
Morocco,1801,2503218,1800,715,33.1,Middle East & North Africa
Mozambique,1801,1982324,1800,391,30.2779866666667,Sub-Saharan Africa
Myanmar,1801,3506000,1800,840,30.8,East Asia & Pacific
Namibia,1801,229000,1800,540,32.4,Sub-Saharan Africa
Nauru,1801,1834,1800,554,NA,East Asia & Pacific
Nepal,1801,3881000,1800,654,32.8,South Asia
Netherlands,1801,2254522,1800,4161,39.86,Europe & Central Asia
Netherlands Antilles,1801,NA,1800,NA,34.408,America
New Caledonia,1801,29432,1800,NA,26,East Asia & Pacific
New Zealand,1801,1e+05,1800,659,34.05,East Asia & Pacific
Ngorno-Karabakh,1801,NA,1800,NA,NA,Europe & Central Asia
Nicaragua,1801,219387,1800,973,25.4,America
